x	z
4.01646	3.18403
4.04162	3.21465
4.05294	3.22845
4.09902	3.28314
4.10343	3.28835
4.10642	3.29192
4.13349	3.32419
4.15598	3.34965
4.15928	3.35317
4.18729	3.38197
4.18981	3.38455
4.25874	3.45334
4.27192	3.46643
4.28901	3.48036
4.35319	3.52667
4.36065	3.53122
4.41462	3.56218
4.44428	3.57673
4.46228	3.58492
4.50423	3.60128
4.50567	3.60185
4.54115	3.61328
4.56345	3.61984
4.59536	3.62858
4.66437	3.64243
4.69315	3.64735
4.77776	3.65944
4.81336	3.66382
4.86585	3.66955
4.94043	3.67470
4.95996	3.67565
4.96635	3.67584
4.97966	3.67624
5.06673	3.67711
5.07323	3.67707
5.15530	3.67566
5.16618	3.67529
5.16705	3.67525
5.16807	3.67522
5.26728	3.66984
5.27786	3.66914
5.36747	3.66224
5.38825	3.66041
5.46762	3.65243
5.49556	3.64859
5.51564	3.64584
5.55012	3.64100
5.56766	3.63825
5.61721	3.62913
5.66756	3.61913
5.70618	3.61066
5.76743	3.59635
5.83939	3.57959
5.86729	3.57260
5.95429	3.54965
5.96704	3.54602
5.96951	3.54533
6.00191	3.53578
6.06672	3.51533
6.08419	3.50959
6.16421	3.48230
6.18730	3.47421
6.26583	3.44529
6.30560	3.42905
6.36143	3.40569
6.38664	3.39488
6.43238	3.37427
6.45104	3.36541
6.46464	3.35895
6.54570	3.31819
6.56576	3.30808
6.61569	3.28253
6.61990	3.28020
6.64230	3.26720
6.66286	3.25496
6.66804	3.25190
6.76193	3.19626
6.78344	3.18428
6.80302	3.17251
6.84653	3.14456
6.86106	3.13474
6.95016	3.07173
6.96136	3.06343
7.00255	3.03106
7.04806	2.99352
7.05846	2.98517
7.08942	2.96080
7.09516	2.95622
7.09623	2.95535
7.15248	2.90925
7.15667	2.90582
7.19780	2.87150
7.22625	2.84760
7.25327	2.82288
7.27357	2.80395
7.28337	2.79481
7.34052	2.74057
7.35256	2.72918
7.44980	2.63233
7.45099	2.63110
7.45141	2.63067
7.45529	2.62661
7.47276	2.60751
7.54925	2.51902
7.57039	2.49165
7.62035	2.42155
7.63313	2.40362
7.64654	2.38257
7.67945	2.32486
7.68388	2.31647
7.69073	2.30362
7.71560	2.25600
7.74267	2.20152
7.76265	2.15707
7.78437	2.10735
7.80625	2.05553
7.83199	1.99471
7.83403	1.98988
7.83788	1.98076
7.86813	1.90658
7.87135	1.89882
7.87522	1.88978
7.88992	1.85542
7.91042	1.80705
7.91677	1.79128
7.93286	1.74845
7.94234	1.72322
7.95587	1.69040
7.97840	1.64124
8.00830	1.58575
8.01777	1.56846
8.02907	1.55624
8.04045	1.54623
8.07951	1.51551
8.12766	1.48517
8.13971	1.48061
8.14795	1.47805
8.14942	1.47745
8.22714	1.44696
8.24844	1.43318
8.32640	1.38592
8.39096	1.40332
8.42765	1.42866
8.44811	1.46017
8.46280	1.48548
8.46418	1.48786
8.51337	1.56515
8.52901	1.58690
8.53156	1.59077
8.55171	1.62306
8.57165	1.65509
8.57819	1.66495
8.58080	1.66885
8.63992	1.75381
8.64718	1.76453
8.69159	1.82981
8.71902	1.86981
8.73944	1.89820
8.77244	1.94079
8.79039	1.96344
8.81614	1.99457
8.84605	2.03060
8.87309	2.06255
8.90325	2.09768
8.94580	2.14610
8.96048	2.16154
8.98110	2.18188
9.06247	2.25939
9.06301	2.25987
9.06304	2.25990
9.07606	2.27081
9.14515	2.32868
9.15075	2.33329
9.17524	2.35241
9.18187	2.35752
9.24419	2.40547
9.25284	2.41196
9.29343	2.44161
9.31698	2.45758
9.35481	2.48151
9.38285	2.49806
9.45647	2.54084
9.47550	2.55095
9.53964	2.58278
9.55802	2.59124
9.59395	2.60764
9.65947	2.63663
9.67833	2.64496
9.74358	2.67230
9.76078	2.67910
9.80041	2.69618
9.86198	2.72266
9.90233	2.73910
9.94415	2.75402
9.96315	2.76080
10.00421	2.77346
10.06423	2.78948
10.10334	2.79805
10.16518	2.81035
10.18919	2.81526
10.23771	2.82581
10.26605	2.83455
10.31174	2.85521
10.36728	2.88642
10.39238	2.90535
10.40784	2.92234
10.45270	2.97978
10.47077	3.00828
10.47868	3.02161
10.51307	3.08542
10.53234	3.12193
10.56760	3.17795
10.57553	3.18969
10.59962	3.22171
10.60582	3.22801
10.64427	3.26540
10.67827	3.29680
10.70368	3.31653
10.70558	3.31786
10.70825	3.31973
10.77571	3.36460
10.78017	3.36725
10.81001	3.38453
10.88186	3.42032
10.94560	3.44544
10.98307	3.45794
10.99965	3.46329
11.08408	3.48645
11.12178	3.49519
11.18491	3.50746
11.26280	3.51761
11.28023	3.51917
11.28555	3.51965
11.29253	3.52022
11.38602	3.52385
11.38672	3.52386
11.39648	3.52401
11.48010	3.52404
11.48639	3.52404
11.57340	3.52390
11.58676	3.52401
11.66385	3.52464
11.66691	3.52467
11.68713	3.52481
11.76017	3.52430
11.78746	3.52362
11.81967	3.52225
11.88770	3.51819
11.92971	3.51507
11.98788	3.51053
12.04022	3.50548
12.08802	3.50103
12.15111	3.49387
12.18812	3.48973
12.26215	3.48174
12.28822	3.47869
12.37339	3.46904
12.38833	3.46702
12.39274	3.46642
12.47995	3.45204
12.48210	3.45163
12.50728	3.44651
12.58230	3.42937
12.58817	3.42798
12.59972	3.42518
12.65502	3.41095
12.68794	3.40247
12.71458	3.39520
12.78764	3.37419
12.83012	3.36168
12.88730	3.34415
12.89983	3.34000
12.92698	3.33113
12.95682	3.32195
12.98696	3.31268
13.06306	3.28680
13.08654	3.27827
13.18119	3.24038
13.18599	3.23843
13.18746	3.23783
13.21059	3.22831
13.23671	3.21723
13.23977	3.21591
13.24139	3.21520
13.28533	3.19520
13.30071	3.18820
13.38460	3.14987
13.43825	3.12439
13.48390	3.10236
13.51183	3.08868
13.58316	3.05326
13.58582	3.05195
13.61182	3.03920
13.68245	3.00480
13.70692	2.99296
13.70945	2.99178
13.71728	2.98816
13.77455	2.96219
13.78096	2.95911
13.78175	2.95873
13.86453	2.91656
13.88107	2.90765
13.89001	2.90275
13.92742	2.88060
13.94640	2.86967
13.98008	2.84932
14.02905	2.81700
14.08926	2.77654
14.09677	2.77119
14.16312	2.72220
14.17759	2.71133
14.23867	2.66273
14.23881	2.66261
14.23954	2.66201
14.27608	2.62990
14.28487	2.62156
14.35213	2.55568
14.36113	2.54659
14.37429	2.53256
14.40651	2.49529
14.41140	2.48963
14.44626	2.44930
14.45491	2.43853
14.47197	2.41560
14.48512	2.39765
14.52404	2.34358
14.54796	2.30784
14.56550	2.28044
14.56906	2.27479
14.58680	2.24361
14.58967	2.23852
14.60477	2.21218
14.64993	2.13366
14.65744	2.12059
14.66586	2.10568
14.68303	2.07427
14.70723	2.02875
14.72323	1.99721
14.75946	1.92033
14.76144	1.91591
14.79316	1.83728
14.80081	1.81971
14.83443	1.74690
14.85708	1.71422
14.86980	1.70222
14.93630	1.66355
14.95610	1.65203
14.97772	1.64251
15.06334	1.60411
15.11092	1.57566
15.14870	1.55947
15.15472	1.55871
15.16001	1.55860
15.25515	1.59616
15.25603	1.59687
15.27458	1.61523
15.29063	1.63705
15.32416	1.68832
15.32993	1.69636
15.35976	1.74120
15.36933	1.75726
15.39048	1.79552
15.42798	1.85892
15.45020	1.89550
15.46426	1.91870
15.49415	1.97133
15.50812	1.99557
15.54455	2.05211
15.57501	2.09537
15.61091	2.13762
15.65404	2.18836
15.66919	2.20513
15.67143	2.20760
15.71223	2.24922
15.74709	2.28320
15.75666	2.29282
15.77440	2.31073
15.83651	2.37323
15.85566	2.39237
15.87724	2.41367
15.92907	2.46181
15.96027	2.48939
15.96103	2.49024
15.97942	2.50537
16.01951	2.53558
16.08143	2.58097
16.09001	2.58669
16.11829	2.60392
16.18317	2.64062
16.21328	2.65633
16.26398	2.68223
16.28461	2.69297
16.34072	2.72084
16.38603	2.74276
16.39224	2.74554
16.40866	2.75291
16.46293	2.77673
16.48740	2.78757
16.54801	2.81290
16.58871	2.82830
16.64902	2.84713
16.69655	2.85936
16.74392	2.86799
16.78034	2.87303
16.79066	2.87369
16.84311	2.87899
16.89128	2.88368
16.93853	2.88811
16.99184	2.89291
17.03367	2.89624
17.09232	2.89967
17.12806	2.90065
17.19271	2.90098
17.22166	2.90087
17.29305	2.90110
17.31561	2.90224
17.36837	2.90832
17.39364	2.91124
17.41686	2.91680
17.49478	2.94655
17.51987	2.96416
17.60250	3.03723
17.64793	3.09624
17.67521	3.13673
17.68549	3.15220
17.70060	3.17521
17.72830	3.21454
17.74453	3.23637
17.78359	3.28327
17.80413	3.30708
17.82634	3.33144
17.83026	3.33527
17.89389	3.39378
17.90681	3.40534
17.90915	3.40739
17.94220	3.43316
17.94976	3.43855
18.00884	3.47783
18.01219	3.47973
18.10671	3.52886
18.11040	3.53047
18.11726	3.53284
18.21051	3.56502
18.21158	3.56533
18.30868	3.58656
18.31245	3.58725
18.40547	3.60191
18.41321	3.60323
18.41543	3.60361
18.48603	3.61576
18.49395	3.61733
18.51398	3.62133
18.59978	3.63619
18.61474	3.63828
18.69537	3.64620
18.71528	3.64729
18.78939	3.64901
18.81568	3.64903
18.88250	3.64790
18.91599	3.64663
18.95576	3.64431
19.01619	3.63991
19.06629	3.63441
19.10386	3.62962
19.11627	3.62804
19.17782	3.61936
19.21629	3.61359
19.28954	3.60425
19.31638	3.60074
19.32770	3.59918
19.34539	3.59706
19.41645	3.58787
19.51333	3.57372
19.51647	3.57320
19.53519	3.57011
19.61624	3.55533
19.62610	3.55319
19.71625	3.53083
19.74081	3.52402
19.81595	3.50149
19.85659	3.48908
19.91557	3.47042
19.92759	3.46636
19.96953	3.45239
20.00070	3.44221
20.01518	3.43754
20.07742	3.41553
20.08996	3.41109
20.11472	3.40202
20.20816	3.36510
20.21417	3.36269
20.24535	3.35040
20.27201	3.33966
20.27753	3.33734
20.31356	3.32124
20.38005	3.29198
20.41288	3.27714
20.49311	3.23931
20.51222	3.22979
20.52159	3.22499
20.57420	3.19694
20.61122	3.17695
20.67332	3.14183
20.72036	3.11415
20.78619	3.07622
20.80808	3.06364
20.80944	3.06286
20.81523	3.05951
20.90216	3.00972
20.91102	3.00426
20.96912	2.96752
20.98169	2.95958
21.00770	2.94335
21.03296	2.92754
21.08933	2.88916
21.10643	2.87702
21.19293	2.81319
21.20501	2.80419
21.22805	2.78608
21.24300	2.77337
21.29647	2.72652
21.30346	2.72042
21.33277	2.69392
21.35016	2.67850
21.39014	2.64278
21.40185	2.63215
21.42541	2.61039
21.46761	2.57136
21.48143	2.55793
21.50011	2.53973
21.51221	2.52809
21.57842	2.46430
21.59695	2.44546
21.59819	2.44415
21.60460	2.43739
21.65134	2.38810
21.67982	2.35765
21.69639	2.33980
21.72135	2.31343
21.72565	2.30888
21.78120	2.25071
21.79443	2.23809
21.86408	2.18241
21.89303	2.16744
21.93909	2.15577
21.99300	2.15509
22.06259	2.17657
22.09408	2.19029
22.09670	2.19155
22.10457	2.19518
22.16096	2.22840
22.17264	2.23498
22.19575	2.24864
22.24642	2.27891
22.29963	2.31160
22.30420	2.31440
22.32973	2.33077
22.39940	2.37616
22.42959	2.39601
22.45676	2.41320
22.47871	2.42728
22.50144	2.44213
22.53873	2.46679
22.57292	2.48914
22.59193	2.50157
22.60341	2.50817
22.62733	2.52365
22.69382	2.56853
22.70535	2.57650
22.76674	2.61969
22.80720	2.64851
22.88442	2.70920
22.89509	2.71758
22.90920	2.72830
22.98260	2.78104
23.01119	2.80008
23.03479	2.81443
23.07488	2.83963
23.11321	2.86257
23.11918	2.86612
23.19859	2.91005
23.21472	2.91827
23.30331	2.96278
23.31863	2.97058
23.38471	3.00510
23.39288	3.00930
23.41709	3.02086
23.41795	3.02128
23.51358	3.06914
23.51945	3.07196
23.58308	3.09951
23.58765	3.10141
23.62077	3.11378
23.71776	3.14707
23.72191	3.14829
23.72402	3.14892
23.72845	3.15019
23.82284	3.17493
23.90803	3.18889
23.92233	3.19096
24.01018	3.20142
24.02426	3.20369
24.10843	3.22190
24.12505	3.22741
24.13533	3.23106
24.18480	3.25050
24.23327	3.27791
24.30796	3.34079
24.32886	3.36049
24.33672	3.36883
24.34322	3.37571
24.34963	3.38319
24.43196	3.48047
24.45276	3.50582
24.48762	3.54861
24.50816	3.57402
24.53534	3.60842
24.56385	3.64554
24.58467	3.67340
24.60192	3.69555
24.63812	3.73905
24.66999	3.77253
24.70455	3.80345
24.74095	3.83424
24.74666	3.83880
24.79189	3.86984
24.81367	3.88296
24.84298	3.89874
24.92225	3.93965
24.94454	3.95078
24.97348	3.96489
24.99478	3.97423
25.04600	3.99436
25.08082	4.00606
25.12720	4.02164
25.14706	4.02696
25.22557	4.04337
25.25040	4.04767
25.29523	4.05421
25.31809	4.05750
25.34862	4.06166
25.41823	4.06995
25.44920	4.07307
25.51347	4.07823
25.54977	4.07990
25.59131	4.08075
25.65018	4.08086
25.70021	4.07812
25.75039	4.07382
25.79147	4.06895
25.85044	4.06137
25.88217	4.05726
25.95052	4.04865
26.03426	4.03905
26.05063	4.03702
26.06399	4.03532
26.07093	4.03436
26.15069	4.02335
26.18477	4.01756
26.18500	4.01752
26.18873	4.01691
26.25068	4.00699
26.33435	3.99190
26.35064	3.98870
26.42362	3.97331
26.45054	3.96685
26.51182	3.95006
26.55028	3.93837
26.59876	3.92172
26.65952	3.90004
26.67337	3.89516
26.73145	3.87353
26.74930	3.86685
26.77123	3.85878
26.84879	3.82989
26.85737	3.82666
26.91210	3.80568
26.94327	3.79338
26.94827	3.79138
26.94851	3.79128
26.97397	3.78019
26.98506	3.77547
27.02754	3.75744
27.04765	3.74891
27.11304	3.71805
27.14685	3.70078
27.16698	3.69015
27.21700	3.66403
27.24607	3.64911
27.28014	3.63076
27.34507	3.59401
27.39812	3.56318
27.40865	3.55730
27.44428	3.53896
27.44613	3.53793
27.45570	3.53256
27.52884	3.49060
27.54329	3.48176
27.54841	3.47867
27.59820	3.44713
27.62082	3.43337
27.64230	3.42032
27.69229	3.38575
27.74097	3.35115
27.74517	3.34846
27.75858	3.33826
27.82850	3.28470
27.83964	3.27617
27.88202	3.24287
27.89728	3.23088
27.89853	3.22986
27.90290	3.22630
27.93818	3.19664
28.00525	3.14101
28.02731	3.12207
28.03665	3.11440
28.08722	3.06687
28.13501	3.02056
28.14005	3.01514
28.15629	2.99771
28.23279	2.91091
28.23309	2.91063
28.23456	2.90879
28.24363	2.89742
28.25263	2.88618
28.25622	2.88257
28.31064	2.81211
28.32215	2.79649
28.33043	2.78505
28.36991	2.72535
28.38767	2.69761
28.39887	2.67959
28.42717	2.63425
28.43869	2.61553
28.45302	2.59254
28.46214	2.57845
28.50074	2.51988
28.52201	2.48722
28.52340	2.48505
28.52422	2.48376
28.57552	2.40295
28.58851	2.38219
28.60233	2.35705
28.62091	2.31900
28.63361	2.29043
28.63885	2.27747
28.67710	2.19093
28.68517	2.17303
28.68662	2.16980
28.70829	2.12303
28.71446	2.11092
28.71635	2.10735
28.74032	2.06860
28.75659	2.05131
28.81385	1.99914
28.87397	2.00124
28.91518	2.01753
28.92390	2.02173
28.97805	2.05860
29.00545	2.07876
29.01685	2.08842
29.09812	2.16193
29.10501	2.16846
29.11930	2.18134
29.16510	2.22210
29.21474	2.26628
29.21685	2.26815
29.22174	2.27245
29.22332	2.27383
29.27535	2.31844
29.32410	2.35982
29.36723	2.39769
29.41894	2.44199
29.42865	2.45010
29.43720	2.45722
29.52855	2.53144
29.55064	2.54792
29.62146	2.59794
29.63056	2.60394
29.65046	2.61569
29.69724	2.64403
29.73254	2.66487
29.77581	2.68910
29.82461	2.71673
29.83425	2.72215
29.86651	2.73940
29.92956	2.77230
29.97793	2.79693
29.98864	2.80238
30.01878	2.81634
30.03723	2.82451
30.05888	2.83393
30.12270	2.86121
30.13870	2.86786
30.19488	2.89145
30.22943	2.90601
30.23999	2.91023
30.28847	2.92741
30.34513	2.94635
30.39706	2.96063
30.44206	2.97171
30.49616	2.98509
30.54396	2.99566
30.63590	3.01538
30.64388	3.01692
30.65313	3.01868
30.74285	3.03390
30.78957	3.04313
30.84552	3.05526
30.88819	3.06496
30.93379	3.07708
30.94649	3.08046
30.95949	3.08451
31.00545	3.10153
31.04754	3.12035
31.09568	3.15203
31.14964	3.19281
31.15637	3.19860
31.19627	3.24196
31.24549	3.30175
31.25276	3.31167
31.30390	3.38300
31.31462	3.39743
31.35030	3.44263
31.35632	3.44971
31.39788	3.49555
31.39880	3.49644
31.42295	3.51884
31.45899	3.54996
31.51043	3.58852
31.51953	3.59476
31.56096	3.62085
31.57355	3.62770
31.66257	3.67367
31.68696	3.68416
31.69958	3.68910
31.69965	3.68912
31.75962	3.71196
31.76379	3.71331
31.78057	3.71855
31.86481	3.74068
31.87962	3.74381
31.96559	3.75758
31.97647	3.75901
32.06620	3.76857
32.12978	3.77344
32.13386	3.77373
32.16673	3.77581
32.17019	3.77593
32.26086	3.77835
32.26715	3.77842
32.35392	3.77706
32.36748	3.77671
32.38345	3.77624
32.46775	3.77258
32.49312	3.77101
32.56795	3.76540
32.62742	3.75841
32.67376	3.75184
32.68785	3.74961
32.72832	3.74319
32.76800	3.73655
32.82794	3.72679
32.86799	3.71963
32.94087	3.70615
32.96792	3.70056
33.05498	3.67939
33.06771	3.67608
33.14912	3.65283
33.16741	3.64747
33.23239	3.62839
33.24123	3.62586
33.24432	3.62500
33.26712	3.61895
33.34050	3.59718
33.36679	3.58888
33.42726	3.56770
33.46629	3.55317
33.51918	3.53268
33.57902	3.50945
33.64280	3.48526
33.64885	3.48291
33.66528	3.47652
33.68512	3.46864
33.76471	3.43537
33.80451	3.41824
33.86409	3.39200
33.94022	3.35728
33.96349	3.34632
34.02449	3.31681
34.06276	3.29801
34.07439	3.29253
34.09269	3.28368
34.13601	3.26079
34.16187	3.24671
34.19170	3.23022
34.26085	3.19032
34.28815	3.17569
34.29338	3.17276
34.34364	3.14361
34.35996	3.13405
34.43969	3.08725
34.46080	3.07450
34.48030	3.06257
34.51054	3.04370
34.53719	3.02711
34.55794	3.01419
34.64380	2.96021
34.65689	2.95173
34.69581	2.92603
34.75567	2.88549
34.81218	2.84466
34.81295	2.84411
34.81307	2.84402
34.85437	2.81435
34.92992	2.75274
34.95285	2.73320
35.00959	2.67961
35.06003	2.62892
35.14548	2.53010
35.15142	2.52282
35.16517	2.50575
35.21020	2.44735
35.24146	2.40451
35.24640	2.39750
35.27036	2.36124
35.27976	2.34702
35.30230	2.31179
35.31275	0.36426
35.31279	0.41230
35.31279	0.41744
35.31367	0.33753
35.31449	0.45509
35.31554	0.46663
35.31949	0.26150
35.31960	0.52692
35.32027	0.25665
35.32285	0.56880
35.32949	2.26406
35.33330	0.65634
35.33536	0.67074
35.33893	0.17670
35.34320	2.23850
35.34511	0.72611
35.34769	2.23004
35.34792	0.15740
35.34814	0.15635
35.35418	0.77244
35.35649	0.78443
35.35879	2.20698
35.37511	0.87401
35.38149	0.91233
35.39103	0.97588
35.39437	0.10200
35.39479	2.12457
35.39966	1.04161
35.40302	2.10264
35.40451	1.07784
35.40552	2.09535
35.40653	0.09188
35.40690	1.09356
35.41857	1.16622
35.41919	1.16998
35.42678	1.21483
35.43557	1.98791
35.43614	1.26994
35.43771	1.97803
35.43802	1.28143
35.44669	1.92985
35.44886	1.35411
35.45201	1.89565
35.45297	1.38330
35.45512	1.40123
35.45957	1.43820
35.45970	1.82342
35.46210	1.79276
35.46412	1.48527
35.46671	1.52223
35.46721	1.69035
35.46722	1.69008
35.46724	1.68917
35.46878	1.58754
35.47732	0.05003
35.49310	0.04318
35.50789	0.03746
35.54660	0.02599
35.59309	0.01567
35.67531	0.00147
35.69307	-0.00093
35.78602	0.00000
35.79328	0.00000
35.86558	0.00000
35.89347	0.00000
35.89628	0.00000
35.99369	0.00000
36.03995	0.00000
36.07606	0.00000
36.09401	0.00000
36.16943	0.00000
36.19439	0.00000
36.26300	0.00000
36.29479	0.00000
36.35682	0.00000
36.39520	0.00000
36.45053	0.00000
36.49559	0.00000
36.54384	0.00000
36.59593	0.00000
36.65659	0.00000
36.69628	0.00000
36.73038	0.00000
36.79662	0.00000
36.87477	0.00000
36.89686	0.00000
36.98441	0.00000
36.99711	0.00000
37.03961	0.00000
37.09363	0.00000
37.09740	0.00000
37.10062	0.00000
37.14115	0.00000
37.19772	0.00000
37.20372	0.00000
37.29804	0.00000
37.31546	0.00000
37.39837	0.00000
37.43111	0.00000
37.49871	0.00000
37.55509	0.00000
37.59908	0.00000
37.69922	0.00000
37.69944	0.00000
37.69954	0.00000
37.79980	0.00000
37.83336	0.00000
37.90015	0.00000
37.96325	0.00000
38.00050	0.00000
38.00979	0.00000
38.03953	0.00000
38.08029	0.00000
38.10085	0
38.12207	0
38.20119	0
38.21654	0
38.30153	0
38.31107	0
38.40189	0
38.40506	0
38.45245	0
38.49885	0
38.50227	0
38.59227	0
38.60264	0
38.6856	0
38.70299	0
38.77914	0
38.80338	0
38.87282	0
38.90378	0
38.96632	0
39.00415	0
39.03949	0
39.05983	0
39.10453	0
39.15354	0
39.20496	0
39.24736	0
39.30538	0
39.34124	0
39.4058	0
39.43518	0
39.50622	0
39.52895	0
39.60659	0
39.62248	0
39.70698	0
39.71605	0
39.80737	0
39.80961	0
39.83823	0
39.90769	0
39.95547	0
39.96498	0
